account,amount,timestamp
Marianne,80.82,2/18/2019
Beckie,72.58,3/28/2019
Berta,21.64,3/12/2019
Erminie,97.28,11/11/2019
Myrwyn,26.77,3/3/2019
Xymenes,65.21,11/17/2019
Abbey,50.81,7/8/2019
Charisse,52.8,5/11/2019
Pepillo,14.92,7/20/2019
Knox,16.33,8/17/2019
Ber,66.18,8/7/2019
Maurise,54.82,7/7/2019
Maisie,22.42,10/25/2019
Biron,39.62,3/13/2019
Barb,91.5,5/26/2019
Lorens,64.61,6/16/2019
Bobbee,26.78,10/4/2019
Alia,79.03,9/9/2019
Sigismond,18.07,10/18/2019
Rand,49.42,11/28/2019
Obed,43.07,2/13/2019
Damara,41.3,8/1/2019
Leoline,92.53,9/6/2019
Terence,46.01,5/23/2019
Jeana,40.97,11/26/2019
Christophe,59.04,12/21/2019
Isidor,7.93,7/22/2019
Frank,15.06,7/19/2019
Pace,16.34,6/3/2019
Nickey,72.48,2/13/2019
Brian,3.48,4/22/2019
Arthur,21.86,3/12/2019
Crosby,31.48,7/23/2019
Ave,47.91,9/16/2019
Faythe,25.93,3/19/2019
Stephana,83.47,11/29/2019
Geordie,91.56,12/23/2019
Glyn,77.21,11/5/2019
Gordon,92.28,10/15/2019
Melly,28.73,5/12/2019
Dyna,45.53,1/1/2020
Ralph,90.53,5/15/2019
Jeramie,52.72,8/10/2019
Leeanne,97.53,4/5/2019
Rubi,89.73,4/12/2019
Massimiliano,92.11,6/19/2019
Leopold,87.99,12/9/2019
Gwenny,26.24,10/16/2019
Robenia,10.02,2/24/2019
Del,9.97,10/23/2019
Clovis,20.86,5/23/2019
Kaye,45.81,5/29/2019
Andreana,96.08,3/3/2019
Frasco,53.25,8/4/2019
Lexie,91.17,9/21/2019
Estella,93.62,11/5/2019
Minnaminnie,11.86,2/8/2019
Reeta,59.3,7/18/2019
Bekki,16.33,3/3/2019
Terri,84.53,6/20/2019
Arney,90.77,8/10/2019
Brucie,94.91,4/1/2019
Roby,58.11,7/20/2019
Cilka,71.33,8/6/2019
Winslow,41.47,7/5/2019
Torey,70.53,1/27/2019
Justis,36.69,6/22/2019
Evanne,92.99,12/25/2019
Sheeree,67.9,12/17/2019
Emmalyn,4.28,2/17/2019
Adrea,63.65,9/21/2019
Petronille,89.01,12/18/2019
Bo,7.13,1/11/2019
Lilas,15.48,5/5/2019
Fred,94.59,1/17/2019
Michel,12.51,5/25/2019
Betsy,26.41,10/6/2019
Dasya,2.17,1/15/2019
Cleveland,9.55,5/31/2019
Jacquie,73.11,1/19/2019
Sansone,13.87,3/24/2019
Carina,37.88,10/31/2019
Elora,70.46,12/13/2019
Conway,64.47,7/26/2019
Rosemonde,48.78,3/1/2019
Cornela,79.91,11/15/2019
Delmar,96.74,7/17/2019
Alyson,40.03,12/30/2019
Fredrick,33.63,8/16/2019
Joellyn,18.9,3/3/2019
Madlen,35.22,12/17/2019
Rubie,72.88,12/10/2019
Kayne,43.09,2/15/2019
Shelly,26.12,4/5/2019
Nealson,12.49,10/27/2019
Taddeo,64.92,12/3/2019
Caty,94.48,12/31/2019
Courtnay,43.49,11/7/2019
Ira,40.42,12/2/2019
Lionel,5.47,6/3/2019
Angele,59.13,7/21/2019
Charlot,40.25,4/28/2019
Ulick,59.75,9/12/2019
Lani,23.61,4/24/2019
Brade,0.07,6/1/2019
Merwyn,84.61,8/12/2019
Cynde,68.32,9/1/2019
Jerrome,56.06,12/19/2019
Anders,56.23,2/14/2019
Rossy,36.44,5/20/2019
Sileas,60.42,8/7/2019
Elonore,86.8,3/5/2019
Lynnea,88.65,12/13/2019
James,67.38,6/14/2019
Phelia,4.67,5/31/2019
Laurice,99.11,1/10/2019
Hobie,43.49,3/17/2019
Henderson,2.34,7/29/2019
Brocky,92.93,2/26/2019
Meg,74.81,3/6/2019
Catriona,97.07,12/24/2019
Anselma,13.04,4/15/2019
Markus,1.86,10/24/2019
Jerome,89.32,8/13/2019
Tiphani,38.83,8/18/2019
Janeva,1.26,2/16/2019
Ruthy,63.5,3/2/2019
Deana,79.36,3/24/2019
Hort,13.56,4/22/2019
Larine,80.68,9/9/2019
Amargo,41.69,1/2/2020
Mikaela,57.42,10/26/2019
Brice,76.53,7/17/2019
Lionello,69.43,3/19/2019
Dunn,20.72,5/16/2019
Cameron,99.4,1/18/2019
Aguistin,40.16,12/7/2019
Coralie,23.6,8/14/2019
Esmeralda,38.61,12/14/2019
Dora,10.36,2/9/2019
Irving,10.18,6/1/2019
Margalo,31.9,7/19/2019
Charmian,83.81,3/1/2019
Tonnie,84.45,1/12/2019
Alwyn,96.2,6/15/2019
Parry,80.56,4/8/2019
Marnia,1.33,9/17/2019
Buiron,14.65,8/28/2019
Berti,6.65,3/18/2019
Olivier,62.28,12/23/2019
Andree,67.2,3/26/2019
Jorie,85.05,10/6/2019
Alyse,77.75,3/16/2019
Wendie,58.98,4/14/2019
Laryssa,77.41,11/21/2019
Darya,91.86,7/26/2019
Ferd,77.15,5/20/2019
Marguerite,93.06,11/13/2019
Dario,70.99,11/21/2019
Andeee,34.19,12/17/2019
Heida,13.3,8/24/2019
Dex,28.82,9/14/2019
Clemmie,56.25,3/3/2019
Evelina,2.27,4/3/2019
Angela,18.95,6/29/2019
Ethelda,90.3,8/20/2019
Gates,64.95,2/19/2019
Rochester,22.45,10/7/2019
Marlo,0.91,10/15/2019
Clarette,82.82,12/19/2019
Damaris,83.99,7/11/2019
Erastus,22.16,6/30/2019
Noak,91.35,9/20/2019
Damara,67.19,1/9/2019
Federico,23.16,11/18/2019
